level_0,level_1,corr,Wine,Quality Factor
Quality,Citric Acid,0.029520539186232694,white,3
Quality,Residual Sugar,-0.06999064211265545,white,3
Quality,Chlorides,-0.31089081146590114,white,3
Quality,Free Sulfur Dioxide,0.0418892155737903,white,3
Quality,Total Sulfur Dioxide,-0.18233460439624913,white,3
Quality,Density,-0.3447071316003785,white,3
Quality,pH,0.10177921201118613,white,3
Quality,Sulphates,0.035657930086526214,white,3
Quality,Alcohol,0.4408353679299147,white,3
Quality,Quality,1.0,white,3
Quality,Quality Factor Numeric,0.9913143524369175,white,3
Quality Factor Numeric,Fixed Acidity,-0.07775819689046885,white,3
Quality Factor Numeric,Volatile Acidity,-0.1782899615061241,white,3
Quality Factor Numeric,Citric Acid,0.026109266426819017,white,3
Quality Factor Numeric,Residual Sugar,-0.08248165366746202,white,3
Quality Factor Numeric,Chlorides,-0.31430065788027894,white,3
Quality Factor Numeric,Free Sulfur Dioxide,0.02396625625647756,white,3
Quality Factor Numeric,Total Sulfur Dioxide,-0.19595986696618933,white,3
Quality Factor Numeric,Density,-0.35259999183491525,white,3
Quality Factor Numeric,pH,0.10267519639979719,white,3
Quality Factor Numeric,Sulphates,0.03689432906556124,white,3
Quality Factor Numeric,Alcohol,0.44829682577910546,white,3
Quality Factor Numeric,Quality,0.9913143524369175,white,3
Quality Factor Numeric,Quality Factor Numeric,1.0,white,3
Fixed Acidity,Fixed Acidity,1.0,red,3
Fixed Acidity,Volatile Acidity,-0.30734392213082684,red,3
Fixed Acidity,Citric Acid,0.6670526172312453,red,3
Fixed Acidity,Residual Sugar,0.20830032618368136,red,3
Fixed Acidity,Chlorides,0.23347396224283928,red,3
Fixed Acidity,Free Sulfur Dioxide,-0.183669248223348,red,3
Fixed Acidity,Total Sulfur Dioxide,-0.10097172139502435,red,3
Fixed Acidity,Density,0.6133878228504579,red,3
Fixed Acidity,pH,-0.7166736090292704,red,3
Fixed Acidity,Sulphates,0.18925636689602007,red,3
Fixed Acidity,Alcohol,-0.057233542271053345,red,3
Fixed Acidity,Quality,0.11818464874063697,red,3
Fixed Acidity,Quality Factor Numeric,0.11491013285116974,red,3
Volatile Acidity,Fixed Acidity,-0.30734392213082684,red,3
Volatile Acidity,Volatile Acidity,1.0,red,3
Volatile Acidity,Citric Acid,-0.6374103930325106,red,3
Volatile Acidity,Residual Sugar,0.039585883303154046,red,3
Volatile Acidity,Chlorides,0.14244619889223453,red,3
Volatile Acidity,Free Sulfur Dioxide,0.01993965650844665,red,3
Volatile Acidity,Total Sulfur Dioxide,0.09024022720560225,red,3
Volatile Acidity,Density,0.016781333285434078,red,3
Volatile Acidity,pH,0.2511232957436993,red,3
Volatile Acidity,Sulphates,-0.3578569513695526,red,3
Volatile Acidity,Alcohol,-0.2240932843335954,red,3
Volatile Acidity,Quality,-0.38011537893038344,red,3
Volatile Acidity,Quality Factor Numeric,-0.36703335712101526,red,3
Citric Acid,Fixed Acidity,0.6670526172312453,red,3
Citric Acid,Volatile Acidity,-0.6374103930325106,red,3
Citric Acid,Citric Acid,1.0,red,3
Citric Acid,Residual Sugar,0.17074116180122031,red,3
Citric Acid,Chlorides,0.0803397076065073,red,3
Citric Acid,Free Sulfur Dioxide,-0.0934987950805742,red,3
Citric Acid,Total Sulfur Dioxide,-0.015675022402897112,red,3
Citric Acid,Density,0.3406992566988158,red,3
Citric Acid,pH,-0.5312768658699034,red,3
Citric Acid,Sulphates,0.3118234731067612,red,3
Citric Acid,Alcohol,0.11850796791276509,red,3
Citric Acid,Quality,0.22351999410867104,red,3
Citric Acid,Quality Factor Numeric,0.2126675894171881,red,3
Residual Sugar,Fixed Acidity,0.20830032618368136,red,3
Residual Sugar,Volatile Acidity,0.039585883303154046,red,3
Residual Sugar,Citric Acid,0.17074116180122031,red,3
Residual Sugar,Residual Sugar,1.0,red,3
Residual Sugar,Chlorides,0.23981389177130633,red,3
Residual Sugar,Free Sulfur Dioxide,0.0688664381885417,red,3
Residual Sugar,Total Sulfur Dioxide,0.13746902704413122,red,3
Residual Sugar,Density,0.40100563484948887,red,3
Residual Sugar,pH,-0.08758554320096515,red,3
Residual Sugar,Sulphates,0.03991045576418913,red,3
Residual Sugar,Alcohol,0.11556194687211338,red,3
Residual Sugar,Quality,0.021581317328884162,red,3
Residual Sugar,Quality Factor Numeric,0.020206023344764325,red,3
Chlorides,Fixed Acidity,0.23347396224283928,red,3
Chlorides,Volatile Acidity,0.14244619889223453,red,3
Chlorides,Citric Acid,0.0803397076065073,red,3
Chlorides,Residual Sugar,0.23981389177130633,red,3
Chlorides,Chlorides,1.0,red,3
Chlorides,Free Sulfur Dioxide,-0.0154087561418687,red,3
Chlorides,Total Sulfur Dioxide,0.11125185162696405,red,3
Chlorides,Density,0.4078649146170113,red,3
Chlorides,pH,-0.2012145999585697,red,3
Chlorides,Sulphates,-0.044725718443334124,red,3
Chlorides,Alcohol,-0.2617541097772281,red,3
Chlorides,Quality,-0.17835518834785466,red,3
Chlorides,Quality Factor Numeric,-0.18327687706815596,red,3
Free Sulfur Dioxide,Fixed Acidity,-0.183669248223348,red,3
Free Sulfur Dioxide,Volatile Acidity,0.01993965650844665,red,3
Free Sulfur Dioxide,Citric Acid,-0.0934987950805742,red,3
Free Sulfur Dioxide,Residual Sugar,0.0688664381885417,red,3
Free Sulfur Dioxide,Chlorides,-0.0154087561418687,red,3
Free Sulfur Dioxide,Free Sulfur Dioxide,1.0,red,3
Free Sulfur Dioxide,Total Sulfur Dioxide,0.7936850449307608,red,3
Free Sulfur Dioxide,Density,-0.05448266545413048,red,3
Free Sulfur Dioxide,pH,0.1444775477941557,red,3
Free Sulfur Dioxide,Sulphates,0.03802946834647751,red,3
Free Sulfur Dioxide,Alcohol,-0.059486789232055234,red,3
Free Sulfur Dioxide,Quality,-0.04705399347242104,red,3
Free Sulfur Dioxide,Quality Factor Numeric,-0.06441378297836135,red,3
Total Sulfur Dioxide,Fixed Acidity,-0.10097172139502435,red,3
Total Sulfur Dioxide,Volatile Acidity,0.09024022720560225,red,3
Total Sulfur Dioxide,Citric Acid,-0.015675022402897112,red,3
Total Sulfur Dioxide,Residual Sugar,0.13746902704413122,red,3
Total Sulfur Dioxide,Chlorides,0.11125185162696405,red,3
Total Sulfur Dioxide,Free Sulfur Dioxide,0.7936850449307608,red,3
Total Sulfur Dioxide,Total Sulfur Dioxide,1.0,red,3
Total Sulfur Dioxide,Density,0.1185514558178332,red,3
Total Sulfur Dioxide,pH,0.034299815821816564,red,3
Total Sulfur Dioxide,Sulphates,-0.029160511758252076,red,3
Total Sulfur Dioxide,Alcohol,-0.25080101611551275,red,3
Total Sulfur Dioxide,Quality,-0.1935109802928899,red,3
Total Sulfur Dioxide,Quality Factor Numeric,-0.21984466521047025,red,3
Density,Fixed Acidity,0.6133878228504579,red,3
Density,Volatile Acidity,0.016781333285434078,red,3
Density,Citric Acid,0.3406992566988158,red,3
Density,Residual Sugar,0.40100563484948887,red,3
Density,Chlorides,0.4078649146170113,red,3
Density,Free Sulfur Dioxide,-0.05448266545413048,red,3
Density,Total Sulfur Dioxide,0.1185514558178332,red,3
Density,Density,1.0,red,3
Density,pH,-0.2989148782581951,red,3
Density,Sulphates,0.12600637228185763,red,3
Density,Alcohol,-0.4753173339680549,red,3
Density,Quality,-0.18594404953588917,red,3
Density,Quality Factor Numeric,-0.1954745600343137,red,3
pH,Fixed Acidity,-0.7166736090292704,red,3
pH,Volatile Acidity,0.2511232957436993,red,3
pH,Citric Acid,-0.5312768658699034,red,3
pH,Residual Sugar,-0.08758554320096515,red,3
pH,Chlorides,-0.2012145999585697,red,3
pH,Free Sulfur Dioxide,0.1444775477941557,red,3
pH,Total Sulfur Dioxide,0.034299815821816564,red,3
pH,Density,-0.2989148782581951,red,3
pH,pH,1.0,red,3
pH,Sulphates,-0.01759934371823089,red,3
pH,Alcohol,0.15786622703115102,red,3
pH,Quality,-0.05556732911571128,red,3
pH,Quality Factor Numeric,-0.039571207083823313,red,3
Sulphates,Fixed Acidity,0.18925636689602007,red,3
Sulphates,Volatile Acidity,-0.3578569513695526,red,3
Sulphates,Citric Acid,0.3118234731067612,red,3
Sulphates,Residual Sugar,0.03991045576418913,red,3
Sulphates,Chlorides,-0.044725718443334124,red,3
Sulphates,Free Sulfur Dioxide,0.03802946834647751,red,3
Sulphates,Total Sulfur Dioxide,-0.029160511758252076,red,3
Sulphates,Density,0.12600637228185763,red,3
Sulphates,pH,-0.01759934371823089,red,3
Sulphates,Sulphates,1.0,red,3
Sulphates,Alcohol,0.2708728499121544,red,3
Sulphates,Quality,0.4224523622441782,red,3
Sulphates,Quality Factor Numeric,0.4191502191581203,red,3
Alcohol,Fixed Acidity,-0.057233542271053345,red,3
Alcohol,Volatile Acidity,-0.2240932843335954,red,3
Alcohol,Citric Acid,0.11850796791276509,red,3
Alcohol,Residual Sugar,0.11556194687211338,red,3
Alcohol,Chlorides,-0.2617541097772281,red,3
Alcohol,Free Sulfur Dioxide,-0.059486789232055234,red,3
Alcohol,Total Sulfur Dioxide,-0.25080101611551275,red,3
Alcohol,Density,-0.4753173339680549,red,3
Alcohol,pH,0.15786622703115102,red,3
Alcohol,Sulphates,0.2708728499121544,red,3
Alcohol,Alcohol,1.0,red,3
Alcohol,Quality,0.48442983633871706,red,3
Alcohol,Quality Factor Numeric,0.5015255670614648,red,3
Quality,Fixed Acidity,0.11818464874063697,red,3
Quality,Volatile Acidity,-0.38011537893038344,red,3
Quality,Citric Acid,0.22351999410867104,red,3
Quality,Residual Sugar,0.021581317328884162,red,3
Quality,Chlorides,-0.17835518834785466,red,3
Quality,Free Sulfur Dioxide,-0.04705399347242104,red,3
Quality,Total Sulfur Dioxide,-0.1935109802928899,red,3
Quality,Density,-0.18594404953588917,red,3
Quality,pH,-0.05556732911571128,red,3
Quality,Sulphates,0.4224523622441782,red,3
Quality,Alcohol,0.48442983633871706,red,3
Quality,Quality,1.0,red,3
Quality,Quality Factor Numeric,0.9858746983066965,red,3
Quality Factor Numeric,Fixed Acidity,0.11491013285116974,red,3
Quality Factor Numeric,Volatile Acidity,-0.36703335712101526,red,3
Quality Factor Numeric,Citric Acid,0.2126675894171881,red,3
Quality Factor Numeric,Residual Sugar,0.020206023344764325,red,3
Quality Factor Numeric,Chlorides,-0.18327687706815596,red,3
Quality Factor Numeric,Free Sulfur Dioxide,-0.06441378297836135,red,3
Quality Factor Numeric,Total Sulfur Dioxide,-0.21984466521047025,red,3
Quality Factor Numeric,Density,-0.1954745600343137,red,3
Quality Factor Numeric,pH,-0.039571207083823313,red,3
Quality Factor Numeric,Sulphates,0.4191502191581203,red,3
Quality Factor Numeric,Alcohol,0.5015255670614648,red,3
Quality Factor Numeric,Quality,0.9858746983066965,red,3
Quality Factor Numeric,Quality Factor Numeric,1.0,red,3
